"Date Printed: Monday, March 9, 2026 3:25:36 PM"
Title: "Households living below the federal poverty level | Uninsured | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming""
Footnote(s): The Census Bureau urges data users to exercise caution when using the 1-year 2020 experimental ACS data estimates and to determine whether the data are suitable for their particular use. Planning region data for Connecticut are temporarily not available due to the transition from counties to planning regions.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Numerator,Percent
"Uninsured","2021","Kentucky","21","250,787","5.7"
"Households living below the federal poverty level","2021","Kentucky","21","141,462","12.2"
"Uninsured","2022","Kentucky","21","246,961","5.6"
"Households living below the federal poverty level","2022","Kentucky","21","139,482","11.9"
"Uninsured","2017","Louisiana","22","382,649","8.4"
"Households living below the federal poverty level","2017","Louisiana","22","162,765","14.7"
"Uninsured","2018","Louisiana","22","363,362","8.0"
"Households living below the federal poverty level","2018","Louisiana","22","150,259","13.6"
"Uninsured","2019","Louisiana","22","404,253","8.9"
"Households living below the federal poverty level","2019","Louisiana","22","159,278","14.3"
"Uninsured","2020 (COVID-19 Pandemic)","Louisiana","22","372,362","8.2"
"Households living below the federal poverty level","2020 (COVID-19 Pandemic)","Louisiana","22","134,455","12.4"
"Uninsured","2021","Louisiana","22","345,499","7.6"
"Households living below the federal poverty level","2021","Louisiana","22","172,995","15.2"
"Uninsured","2022","Louisiana","22","312,196","6.9"
"Households living below the federal poverty level","2022","Louisiana","22","158,359","14.0"
"Uninsured","2017","Maine","23","107,067","8.1"
"Households living below the federal poverty level","2017","Maine","23","20,797","6.3"
"Uninsured","2018","Maine","23","106,187","8.0"
