"Date Printed: Monday, March 9, 2026 3:22:13 PM"
Title: "AIDS classifications | AIDS deaths | AIDS prevalence | Estimated HIV incidence | Estimated HIV prevalence (undiagnosed and diagnosed) | HIV deaths | HIV diagnoses | HIV prevalence | HIV viral suppression | Knowledge of Status | Linkage to HIV medical care | PrEP coverage and number of persons prescribed | Receipt of HIV medical care | 2017 | 2018 | 2019 | 2020 (COVID-19 Pandemic) | 2021 | 2022 | Alabama | Alaska | Arizona | Arkansas | California | Colorado | Connecticut | Delaware | District of Columbia | Florida | Georgia | Hawaii | Idaho | Illinois | Indiana | Iowa | Kansas | Kentucky | Louisiana | Maine | Maryland | Massachusetts | Michigan | Minnesota | Mississippi | Missouri | Montana | Nebraska | Nevada | New Hampshire | New Jersey | New Mexico | New York | North Carolina | North Dakota | Ohio | Oklahoma | Oregon | Pennsylvania | Rhode Island | South Carolina | South Dakota | Tennessee | Texas | Utah | Vermont | Virginia | Washington | West Virginia | Wisconsin | Wyoming | All races/ethnicities | Both sexes | Ages 13 years and older | All transmission categories""
Footnote(s): Data for 2024 and 2025 are considered preliminary (subject to a 12-month reporting delay). Inclusion of preliminary data in trend assessments is discouraged. Small numbers and rates and percentages based on these numbers͵ should be interpreted with caution. HIV diagnoses and PrEP data for the year 2020͵ which coincided with the onset of the COVID-19 pandemic͵ should be interpreted with caution due to the impact of the pandemic on access to HIV testing͵ PrEP prescriptions͵ and care-related services. Data by transmission category are adjusted for missing information. See Technical notes for more details on data availability and stratifications.
   Death data for the year 2023 are preliminary and based on death data received by CDC as of December 2024. Deaths in 2020 and beyond should be interpreted with caution considering the impact of the COVID-19 pandemic. For additional information͵ see <a href=https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm>https://www.cdc.gov/nchs/nvss/vsrr/covid19/excess_deaths.htm</a>. Death data based on residence at death. See Technical Notes for death reporting by jurisdiction.
   Prevalence data for the year 2023 based on preliminary death data received by CDC as of December 2024 and should be interpreted with caution. Prevalence data prior to 2010 are based on residence at diagnosis; prevalence data from 2010 to present are based on most recent known address. See Technical Notes for death reporting by jurisdiction.
   Linkage to HIV medical care is based on cases diagnosed during the year queried.
   Receipt of care is based on persons living with diagnosed HIV at the end of the year queried.
   Viral suppression is based on persons living with diagnosed HIV at the end of the year queried.
   Estimates with an RSE>50% are statistically unreliable and reported as data not available.
   * Estimates with an RSE of 30%–50% should be used with caution because they meet a lower standard of reliability.PrEP coverage͵ reported as a percentage͵ is calculated as the number of persons aged ≥16 years classified as having been prescribed PrEP divided by the estimated number of persons aged ≥16 years who had indications for PrEP. To allow for comparison with other HIV indicators͵ data are presented for ≥13‒ and 13‒24-year-olds͵ but represent ≥16‒ and 16‒24-years-olds͵ respectively. CDC has paused PrEP coverage reporting to determine the best methodology for calculating PrEP coverage͵ and to update PrEP coverage estimates using updated methods and sources. Until updated PrEP coverage estimates are published͵ CDC advises against citing specific PrEP coverage data points͵ as historical estimates will be updated.
   ^ Jurisdiction with incomplete reporting of deaths for most recent year.
   NA - Not Applicable.



Indicator,Year,Geography,FIPS,Cases (95% CI RSE),Rate per 100000 (95% CI),Percent (95% CI RSE)
"HIV prevalence","2018","Minnesota","27","8,151","174.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Minnesota","27","9,600 (9,100 - 10,200, 3.1)","206.6 (194.2 - 219.0)","NA"
"Estimated HIV incidence","2018","Minnesota","27","320 (190 - 460, 21.5)","6.9 (4.0 - 9.8)","NA"
"AIDS prevalence","2018","Minnesota","27","3,750","80.3","NA"
"Receipt of HIV medical care","2019","Minnesota","27","6,708","NA","78.6"
"PrEP coverage and number of persons prescribed","2019","Minnesota","27","4,188","NA","19.3"
"Knowledge of Status","2019","Minnesota","27","8,654","NA","87.5 (82.5 - 93.1, 3.1)"
"HIV viral suppression","2019","Minnesota","27","5,934","NA","69.5"
"HIV prevalence","2019","Minnesota","27","8,395","178.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Minnesota","27","9,900 (9,300 - 10,500, 3.1)","210.2 (197.6 - 222.9)","NA"
"Estimated HIV incidence","2019","Minnesota","27","260 (120 - 400, 27.0)","5.6 (2.6 - 8.5)","NA"
"AIDS prevalence","2019","Minnesota","27","3,808","81.0","NA"
"AIDS classifications","2019","Minnesota","27","124","2.6","NA"
"AIDS deaths","2019","Minnesota","27","58","1.2","NA"
"HIV deaths","2019","Minnesota","27","83","1.8","NA"
"HIV diagnoses","2019","Minnesota","27","268","5.7","NA"
"Linkage to HIV medical care","2019","Minnesota","27","250","NA","91.2"
"Receipt of HIV medical care","2019","Mississippi","28","6,830","NA","73.0"
"Knowledge of Status","2019","Mississippi","28","9,475","NA","83.0 (78.0 - 88.6, 3.3)"
"HIV viral suppression","2019","Mississippi","28","5,043","NA","53.9"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Mississippi","28","11,400 (10,700 - 12,100, 3.2)","460.5 (431.2 - 489.7)","NA"
"Estimated HIV incidence","2019","Mississippi","28","500 (310 - 690, 19.6)","20.1 (12.4 - 27.8)","NA"
"AIDS classifications","2019","Mississippi","28","237","9.6","NA"
"HIV diagnoses","2019","Mississippi","28","468","18.9","NA"
"Linkage to HIV medical care","2019","Mississippi","28","339","NA","71.1"
"PrEP coverage and number of persons prescribed","2019","Mississippi","28","944","NA","20.8"
"HIV prevalence","2019","Mississippi^","28","9,556","385.4","NA"
"AIDS prevalence","2019","Mississippi^","28","4,626","186.6","NA"
"AIDS deaths","2019","Mississippi^","28","133","5.4","NA"
"HIV deaths","2019","Mississippi^","28","187","7.5","NA"
"Receipt of HIV medical care","2019","Missouri","29","9,630","NA","78.2"
"PrEP coverage and number of persons prescribed","2019","Missouri","29","3,471","NA","18.9"
"Knowledge of Status","2019","Missouri","29","12,601","NA","87.5 (83.1 - 92.4, 2.7)"
"HIV viral suppression","2019","Missouri","29","8,277","NA","67.2"
"HIV prevalence","2019","Missouri","29","12,649","245.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Missouri","29","14,400 (13,600 - 15,200, 2.7)","279.3 (264.5 - 294.1)","NA"
"Estimated HIV incidence","2019","Missouri","29","460 (300 - 610, 17.2)","8.8 (5.9 - 11.8)","NA"
"AIDS prevalence","2019","Missouri","29","6,352","123.2","NA"
"AIDS classifications","2019","Missouri","29","229","4.4","NA"
"AIDS deaths","2019","Missouri","29","169","3.3","NA"
"HIV deaths","2019","Missouri","29","230","4.5","NA"
"HIV diagnoses","2019","Missouri","29","488","9.5","NA"
"Linkage to HIV medical care","2019","Missouri","29","376","NA","77.0"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Montana","30","720 (650 - 870, 10.6)","79.2 (71.8 - 95.6)","NA"
"AIDS classifications","2019","Montana","30","10","1.1","NA"
"AIDS deaths","2019","Montana","30","9","1.0","NA"
"AIDS prevalence","2019","Montana","30","334","36.9","NA"
"Estimated HIV incidence","2019","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2019","Montana","30","13","1.4","NA"
"HIV diagnoses","2019","Montana","30","24","2.7","NA"
"HIV prevalence","2019","Montana","30","652","72.0","NA"
"HIV viral suppression","2019","Montana","30","535","NA","83.9"
"Knowledge of Status","2019","Montana","30","650","NA","90.7 (75.1 - 100.0, 7.0)"
"Linkage to HIV medical care","2019","Montana","30","22","NA","88.0"
"PrEP coverage and number of persons prescribed","2019","Montana","30","267","NA","11.7"
"Receipt of HIV medical care","2019","Montana","30","569","NA","89.2"
"AIDS classifications","2018","Minnesota","27","133","2.8","NA"
"AIDS deaths","2018","Minnesota","27","65","1.4","NA"
"HIV deaths","2018","Minnesota","27","84","1.8","NA"
"HIV diagnoses","2018","Minnesota","27","281","6.0","NA"
"Linkage to HIV medical care","2018","Minnesota","27","234","NA","81.3"
"Receipt of HIV medical care","2018","Mississippi","28","6,558","NA","72.8"
"Knowledge of Status","2018","Mississippi","28","9,206","NA","82.8 (77.9 - 88.4, 3.2)"
"HIV viral suppression","2018","Mississippi","28","4,536","NA","50.3"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Mississippi","28","11,100 (10,400 - 11,800, 3.2)","448.8 (420.7 - 476.9)","NA"
"Estimated HIV incidence","2018","Mississippi","28","470 (310 - 640, 17.9)","19.0 (12.4 - 25.7)","NA"
"AIDS classifications","2018","Mississippi","28","259","10.5","NA"
"HIV diagnoses","2018","Mississippi","28","476","19.2","NA"
"Linkage to HIV medical care","2018","Mississippi","28","357","NA","74.8"
"PrEP coverage and number of persons prescribed","2018","Mississippi","28","655","NA","14.5"
"HIV prevalence","2018","Mississippi^","28","9,279","374.6","NA"
"AIDS prevalence","2018","Mississippi^","28","4,534","183.0","NA"
"AIDS deaths","2018","Mississippi^","28","186","7.5","NA"
"HIV deaths","2018","Mississippi^","28","228","9.2","NA"
"Receipt of HIV medical care","2018","Missouri","29","9,334","NA","76.7"
"PrEP coverage and number of persons prescribed","2018","Missouri","29","2,722","NA","14.8"
"Knowledge of Status","2018","Missouri","29","12,385","NA","87.1 (82.8 - 91.9, 2.7)"
"HIV viral suppression","2018","Missouri","29","7,746","NA","63.6"
"HIV prevalence","2018","Missouri","29","12,427","241.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Missouri","29","14,200 (13,500 - 15,000, 2.7)","276.8 (262.3 - 291.3)","NA"
"Estimated HIV incidence","2018","Missouri","29","500 (360 - 640, 14.7)","9.7 (6.9 - 12.5)","NA"
"AIDS prevalence","2018","Missouri","29","6,321","123.0","NA"
"AIDS classifications","2018","Missouri","29","216","4.2","NA"
"AIDS deaths","2018","Missouri","29","181","3.5","NA"
"HIV deaths","2018","Missouri","29","236","4.6","NA"
"HIV diagnoses","2018","Missouri","29","449","8.7","NA"
"Linkage to HIV medical care","2018","Missouri","29","316","NA","70.7"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Montana","30","700 (630 - 850, 10.4)","78.6 (70.2 - 94.7)","NA"
"AIDS classifications","2018","Montana","30","9","1.0","NA"
"AIDS deaths","2018","Montana","30","10","1.1","NA"
"AIDS prevalence","2018","Montana","30","344","38.4","NA"
"Estimated HIV incidence","2018","Montana","30","Data not available","Data not available","NA"
"HIV deaths","2018","Montana","30","13","1.5","NA"
"HIV diagnoses","2018","Montana","30","24","2.7","NA"
"HIV prevalence","2018","Montana","30","632","70.5","NA"
"HIV viral suppression","2018","Montana","30","507","NA","81.9"
"Knowledge of Status","2018","Montana","30","629","NA","89.3 (74.1 - 100.0, 7.4)"
"Linkage to HIV medical care","2018","Montana","30","21","NA","91.3"
"PrEP coverage and number of persons prescribed","2018","Montana","30","186","NA","8.1"
"Receipt of HIV medical care","2018","Montana","30","560","NA","90.5"
"Receipt of HIV medical care","2018","Nebraska","31","1,615","NA","77.1"
"Knowledge of Status","2018","Nebraska","31","2,113","NA","84.2 (75.1 - 95.7, 6.3)"
"HIV viral suppression","2018","Nebraska","31","1,383","NA","66.0"
"HIV prevalence","2018","Nebraska","31","2,133","135.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Nebraska","31","2,500 (2,200 - 2,800, 6.2)","158.9 (139.7 - 178.1)","NA"
"AIDS prevalence","2018","Nebraska","31","1,044","66.1","NA"
"Receipt of HIV medical care","2019","Nebraska","31","1,652","NA","76.8"
"Knowledge of Status","2019","Nebraska","31","2,170","NA","84.5 (75.2 - 96.3, 6.4)"
"HIV viral suppression","2019","Nebraska","31","1,355","NA","63.0"
"HIV prevalence","2019","Nebraska","31","2,193","138.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Nebraska","31","2,600 (2,300 - 2,900, 6.3)","161.7 (141.8 - 181.6)","NA"
"AIDS prevalence","2019","Nebraska","31","1,068","67.2","NA"
"AIDS classifications","2019","Nebraska","31","41","2.6","NA"
"AIDS deaths","2019","Nebraska","31","16","1.0","NA"
"Estimated HIV incidence","2019","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2019","Nebraska","31","32","2.0","NA"
"HIV diagnoses","2019","Nebraska","31","80","5.0","NA"
"Linkage to HIV medical care","2019","Nebraska","31","65","NA","80.2"
"PrEP coverage and number of persons prescribed","2019","Nebraska","31","612","NA","28.1"
"AIDS classifications","2018","Nebraska","31","39","2.5","NA"
"AIDS deaths","2018","Nebraska","31","24","1.5","NA"
"Estimated HIV incidence","2018","Nebraska","31","Data not available","Data not available","NA"
"HIV deaths","2018","Nebraska","31","31","2.0","NA"
"HIV diagnoses","2018","Nebraska","31","77","4.9","NA"
"Linkage to HIV medical care","2018","Nebraska","31","64","NA","81.0"
"PrEP coverage and number of persons prescribed","2018","Nebraska","31","469","NA","21.5"
"HIV prevalence","2018","Nevada","32","10,018","395.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2018","Nevada","32","12,200 (11,600 - 12,900, 2.7)","482.2 (456.3 - 508.1)","NA"
"Estimated HIV incidence","2018","Nevada","32","560 (380 - 750, 16.6)","22.2 (15.0 - 29.4)","NA"
"AIDS prevalence","2018","Nevada","32","4,737","187.0","NA"
"Receipt of HIV medical care","2019","Nevada","32","7,047","NA","68.9"
"PrEP coverage and number of persons prescribed","2019","Nevada","32","2,199","NA","19.3"
"Knowledge of Status","2019","Nevada","32","10,517","NA","82.0 (77.8 - 86.7, 2.8)"
"HIV viral suppression","2019","Nevada","32","5,911","NA","57.8"
"HIV prevalence","2019","Nevada","32","10,580","408.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Nevada","32","12,800 (12,100 - 13,500, 2.8)","495.3 (468.5 - 522.1)","NA"
"Estimated HIV incidence","2019","Nevada","32","570 (360 - 790, 19.2)","22.0 (13.7 - 30.4)","NA"
"AIDS prevalence","2019","Nevada","32","4,926","190.2","NA"
"AIDS classifications","2019","Nevada","32","226","8.7","NA"
"AIDS deaths","2019","Nevada","32","118","4.6","NA"
"HIV deaths","2019","Nevada","32","154","5.9","NA"
"HIV diagnoses","2019","Nevada","32","515","19.9","NA"
"Linkage to HIV medical care","2019","Nevada","32","425","NA","83.0"
"Receipt of HIV medical care","2019","New Hampshire","33","1,042","NA","81.9"
"Knowledge of Status","2019","New Hampshire","33","1,274","NA","89.2 (76.6 - 100.0, 6.7)"
"HIV prevalence","2019","New Hampshire","33","1,292","109.1","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","New Hampshire","33","1,400 (1,300 - 1,700, 8.3)","120.7 (107.6 - 140.4)","NA"
"AIDS classifications","2019","New Hampshire","33","11","0.9","NA"
"AIDS deaths","2019","New Hampshire","33","14","1.2","NA"
"AIDS prevalence","2019","New Hampshire","33","621","52.4","NA"
"Estimated HIV incidence","2019","New Hampshire","33","Data not available","Data not available","NA"
"HIV deaths","2019","New Hampshire","33","18","1.5","NA"
"HIV diagnoses","2019","New Hampshire","33","31","2.6","NA"
"HIV viral suppression","2019","New Hampshire","33","965","NA","75.8"
"Linkage to HIV medical care","2019","New Hampshire","33","27","NA","87.1"
"PrEP coverage and number of persons prescribed","2019","New Hampshire","33","616","NA","20.4"
"PrEP coverage and number of persons prescribed","2019","New Jersey","34","5,716","NA","22.6"
"Knowledge of Status","2019","New Jersey","34","33,996","NA","87.7 (84.4 - 91.4, 2.0)"
"HIV prevalence","2019","New Jersey","34","34,266","456.2","NA"
"HIV diagnoses","2019","New Jersey","34","1,051","14.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","New Jersey","34","38,700 (37,200 - 40,300, 2.0)","515.8 (495.4 - 536.2)","NA"
"Estimated HIV incidence","2019","New Jersey","34","1,000 (700 - 1,400, 16.5)","13.7 (9.3 - 18.2)","NA"
"AIDS prevalence","2019","New Jersey","34","17,449","232.3","NA"
"AIDS classifications","2019","New Jersey","34","453","6.0","NA"
"AIDS deaths","2019","New Jersey","34","473","6.3","NA"
"HIV deaths","2019","New Jersey","34","625","8.3","NA"
"HIV viral suppression","2019","New Jersey","34","Data not available","NA","Data not available"
"Linkage to HIV medical care","2019","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","New Jersey","34","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","New Mexico","35","2,664","NA","74.4"
"PrEP coverage and number of persons prescribed","2019","New Mexico","35","1,077","NA","15.8"
"Knowledge of Status","2019","New Mexico","35","3,738","NA","86.6 (79.5 - 95.1, 4.6)"
"HIV viral suppression","2019","New Mexico","35","2,162","NA","60.4"
"HIV prevalence","2019","New Mexico","35","3,767","213.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","New Mexico","35","4,300 (3,900 - 4,700, 4.6)","245.1 (223.2 - 267.1)","NA"
"Estimated HIV incidence","2019","New Mexico","35","180 (80 - 290, 29.5)","10.3 (4.3 - 16.3)","NA"
"AIDS prevalence","2019","New Mexico","35","1,972","112.0","NA"
"AIDS classifications","2019","New Mexico","35","54","3.1","NA"
"AIDS deaths","2019","New Mexico","35","38","2.2","NA"
"HIV deaths","2019","New Mexico","35","57","3.2","NA"
"HIV diagnoses","2019","New Mexico","35","175","9.9","NA"
"Linkage to HIV medical care","2019","New Mexico","35","138","NA","88.5"
"Receipt of HIV medical care","2019","New York","36","92,597","NA","74.6"
"PrEP coverage and number of persons prescribed","2019","New York","36","35,608","NA","49.0"
"Linkage to HIV medical care","2019","New York","36","2,027","NA","87.0"
"Knowledge of Status","2019","New York","36","122,774","NA","92.5 (90.8 - 94.3, 1.0)"
"HIV viral suppression","2019","New York","36","81,751","NA","65.9"
"HIV prevalence","2019","New York","36","124,744","753.4","NA"
"HIV diagnoses","2019","New York","36","2,380","14.4","NA"
"HIV deaths","2019","New York","36","1,799","10.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","New York","36","132,700 (130,200 - 135,100, 1.0)","801.3 (786.3 - 816.2)","NA"
"Estimated HIV incidence","2019","New York","36","2,000 (1,600 - 2,400, 10.6)","11.8 (9.4 - 14.3)","NA"
"AIDS prevalence","2019","New York","36","70,681","426.9","NA"
"AIDS deaths","2019","New York","36","1,448","8.7","NA"
"AIDS classifications","2019","New York","36","1,287","7.8","NA"
"Receipt of HIV medical care","2019","North Carolina","37","24,495","NA","77.4"
"PrEP coverage and number of persons prescribed","2019","North Carolina","37","5,407","NA","16.6"
"Linkage to HIV medical care","2019","North Carolina","37","1,077","NA","78.9"
"Knowledge of Status","2019","North Carolina","37","32,473","NA","85.1 (82.5 - 87.9, 1.6)"
"HIV viral suppression","2019","North Carolina","37","21,291","NA","67.3"
"HIV prevalence","2019","North Carolina","37","32,695","369.0","NA"
"HIV diagnoses","2019","North Carolina","37","1,354","15.3","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","North Carolina","37","38,100 (36,900 - 39,400, 1.6)","430.5 (416.8 - 444.2)","NA"
"Estimated HIV incidence","2019","North Carolina","37","1,500 (1,100 - 1,800, 10.9)","16.5 (13.0 - 20.0)","NA"
"AIDS prevalence","2019","North Carolina","37","14,513","163.8","NA"
"AIDS classifications","2019","North Carolina","37","510","5.8","NA"
"AIDS deaths","2019","North Carolina","37","351","4.0","NA"
"HIV deaths","2019","North Carolina","37","503","5.7","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","North Dakota","38","720 (530 - 900, 13.1)","114.2 (84.8 - 143.5)","NA"
"AIDS classifications","2019","North Dakota","38","17","2.7","NA"
"AIDS deaths","2019","North Dakota","38","5","0.8","NA"
"AIDS prevalence","2019","North Dakota","38","218","34.7","NA"
"Estimated HIV incidence","2019","North Dakota","38","Data not available","Data not available","NA"
"HIV deaths","2019","North Dakota","38","5","0.8","NA"
"HIV diagnoses","2019","North Dakota","38","39","6.2","NA"
"HIV prevalence","2019","North Dakota","38","488","77.6","NA"
"HIV viral suppression","2019","North Dakota","38","324","NA","71.1"
"Knowledge of Status","2019","North Dakota","38","482","NA","67.1 (53.4 - 90.4, 14.0)"
"Linkage to HIV medical care","2019","North Dakota","38","36","NA","90.0"
"PrEP coverage and number of persons prescribed","2019","North Dakota","38","186","NA","12.2"
"Receipt of HIV medical care","2019","North Dakota","38","371","NA","81.4"
"Receipt of HIV medical care","2019","Ohio","39","16,766","NA","75.5"
"PrEP coverage and number of persons prescribed","2019","Ohio","39","6,107","NA","15.1"
"Knowledge of Status","2019","Ohio","39","22,801","NA","84.1 (80.9 - 87.5, 2.0)"
"HIV viral suppression","2019","Ohio","39","13,969","NA","62.9"
"HIV prevalence","2019","Ohio","39","22,987","233.2","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Ohio","39","27,100 (26,000 - 28,200, 2.0)","275.1 (264.2 - 285.9)","NA"
"Estimated HIV incidence","2019","Ohio","39","880 (610 - 1,200, 15.7)","8.9 (6.2 - 11.7)","NA"
"AIDS prevalence","2019","Ohio","39","10,818","109.7","NA"
"AIDS classifications","2019","Ohio","39","485","4.9","NA"
"AIDS deaths","2019","Ohio","39","278","2.8","NA"
"HIV deaths","2019","Ohio","39","400","4.1","NA"
"HIV diagnoses","2019","Ohio","39","966","9.8","NA"
"Linkage to HIV medical care","2019","Ohio","39","819","NA","83.6"
"Receipt of HIV medical care","2019","Oklahoma","40","4,244","NA","70.3"
"PrEP coverage and number of persons prescribed","2019","Oklahoma","40","1,160","NA","10.5"
"Knowledge of Status","2019","Oklahoma","40","6,295","NA","79.5 (74.1 - 85.9, 3.8)"
"HIV viral suppression","2019","Oklahoma","40","3,521","NA","58.4"
"HIV prevalence","2019","Oklahoma","40","6,333","193.5","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Oklahoma","40","7,900 (7,300 - 8,500, 3.8)","241.8 (223.9 - 259.8)","NA"
"Estimated HIV incidence","2019","Oklahoma","40","430 (260 - 600, 20.4)","13.1 (7.8 - 18.3)","NA"
"AIDS prevalence","2019","Oklahoma","40","2,970","90.8","NA"
"AIDS classifications","2019","Oklahoma","40","118","3.6","NA"
"AIDS deaths","2019","Oklahoma","40","119","3.6","NA"
"HIV deaths","2019","Oklahoma","40","143","4.4","NA"
"HIV diagnoses","2019","Oklahoma","40","345","10.5","NA"
"Linkage to HIV medical care","2019","Oklahoma","40","222","NA","69.4"
"Receipt of HIV medical care","2019","Oregon","41","6,313","NA","89.2"
"PrEP coverage and number of persons prescribed","2019","Oregon","41","3,404","NA","17.2"
"Knowledge of Status","2019","Oregon","41","7,182","NA","88.3 (82.6 - 94.7, 3.5)"
"HIV viral suppression","2019","Oregon","41","5,701","NA","80.5"
"HIV prevalence","2019","Oregon","41","7,222","200.8","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Oregon","41","8,100 (7,600 - 8,700, 3.5)","226.2 (210.7 - 241.6)","NA"
"Estimated HIV incidence","2019","Oregon","41","220 (70 - 360, 35.0*)","6.0 (1.9 - 10.1)","NA"
"AIDS prevalence","2019","Oregon","41","3,937","109.4","NA"
"AIDS classifications","2019","Oregon","41","104","2.9","NA"
"AIDS deaths","2019","Oregon","41","104","2.9","NA"
"HIV deaths","2019","Oregon","41","128","3.6","NA"
"HIV diagnoses","2019","Oregon","41","198","5.5","NA"
"Linkage to HIV medical care","2019","Oregon","41","173","NA","86.9"
"PrEP coverage and number of persons prescribed","2019","Pennsylvania","42","10,105","NA","27.7"
"Knowledge of Status","2019","Pennsylvania","42","35,652","NA","89.6 (86.8 - 92.7, 1.7)"
"HIV prevalence","2019","Pennsylvania","42","36,210","331.4","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Pennsylvania","42","39,800 (38,500 - 41,100, 1.7)","364.0 (351.9 - 376.0)","NA"
"Estimated HIV incidence","2019","Pennsylvania","42","890 (630 - 1,200, 15.1)","8.1 (5.7 - 10.5)","NA"
"AIDS prevalence","2019","Pennsylvania","42","19,411","177.6","NA"
"AIDS classifications","2019","Pennsylvania","42","501","4.6","NA"
"AIDS deaths","2019","Pennsylvania","42","441","4.0","NA"
"HIV deaths","2019","Pennsylvania","42","599","5.5","NA"
"HIV diagnoses","2019","Pennsylvania","42","999","9.1","NA"
"HIV viral suppression","2019","Pennsylvania","42","Data not available","NA","Data not available"
"Linkage to HIV medical care","2019","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","Pennsylvania","42","Data not available","NA","Data not available"
"Receipt of HIV medical care","2019","Rhode Island","44","2,206","NA","85.4"
"PrEP coverage and number of persons prescribed","2019","Rhode Island","44","1,092","NA","28.1"
"Knowledge of Status","2019","Rhode Island","44","2,609","NA","90.7 (81.4 - 100.0, 5.2)"
"HIV viral suppression","2019","Rhode Island","44","2,047","NA","79.2"
"HIV prevalence","2019","Rhode Island","44","2,652","289.9","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","Rhode Island","44","2,900 (2,600 - 3,200, 5.8)","314.5 (285.2 - 350.3)","NA"
"Estimated HIV incidence","2019","Rhode Island","44","70 (10 - 130, 44.3*)","7.8 (1.0 - 14.5)","NA"
"AIDS prevalence","2019","Rhode Island","44","1,424","155.7","NA"
"AIDS classifications","2019","Rhode Island","44","37","4.0","NA"
"AIDS deaths","2019","Rhode Island","44","35","3.8","NA"
"HIV deaths","2019","Rhode Island","44","41","4.5","NA"
"HIV diagnoses","2019","Rhode Island","44","72","7.9","NA"
"Linkage to HIV medical care","2019","Rhode Island","44","65","NA","90.3"
"Knowledge of Status","2019","South Carolina","45","17,166","NA","83.5 (79.8 - 87.5, 2.4)"
"HIV viral suppression","2019","South Carolina","45","11,967","NA","70.7"
"HIV prevalence","2019","South Carolina","45","17,309","397.0","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2019","South Carolina","45","20,600 (19,600 - 21,500, 2.4)","471.7 (449.8 - 493.6)","NA"
"Estimated HIV incidence","2019","South Carolina","45","630 (390 - 870, 19.3)","14.5 (9.0 - 20.0)","NA"
"AIDS prevalence","2019","South Carolina","45","9,091","208.5","NA"
"AIDS classifications","2019","South Carolina","45","321","7.4","NA"
"AIDS deaths","2019","South Carolina","45","233","5.3","NA"
"HIV deaths","2019","South Carolina","45","313","7.2","NA"
"HIV diagnoses","2019","South Carolina","45","720","16.5","NA"
"Linkage to HIV medical care","2019","South Carolina","45","596","NA","87.6"
"AIDS classifications","2018","Nevada","32","206","8.1","NA"
"AIDS deaths","2018","Nevada","32","135","5.3","NA"
"HIV deaths","2018","Nevada","32","160","6.3","NA"
"HIV diagnoses","2018","Nevada","32","496","19.6","NA"
"AIDS classifications","2017","Hawaii","15","30","2.5","NA"
"AIDS deaths","2017","Hawaii","15","31","2.6","NA"
"HIV deaths","2017","Hawaii","15","37","3.1","NA"
"HIV diagnoses","2017","Hawaii","15","74","6.2","NA"
"Linkage to HIV medical care","2017","Hawaii","15","66","NA","85.7"
"PrEP coverage and number of persons prescribed","2017","Hawaii","15","439","NA","8.1"
"Knowledge of Status","2017","Idaho","16","1,099","NA","73.5 (60.1 - 94.5, 11.9)"
"HIV prevalence","2017","Idaho","16","1,117","79.6","NA"
"Estimated HIV prevalence (undiagnosed and diagnosed)","2017","Idaho","16","1,500 (1,200 - 1,800, 11.3)","106.6 (82.9 - 130.4)","NA"
"AIDS classifications","2017","Idaho","16","20","1.4","NA"
"AIDS deaths","2017","Idaho","16","15","1.1","NA"
"AIDS prevalence","2017","Idaho","16","549","39.1","NA"
"Estimated HIV incidence","2017","Idaho","16","Data not available","Data not available","NA"
"HIV deaths","2017","Idaho","16","20","1.4","NA"
"HIV diagnoses","2017","Idaho","16","45","3.2","NA"
"HIV viral suppression","2017","Idaho","16","Data not available","NA","Data not available"
"Linkage to HIV medical care","2017","Idaho","16","Data not available","NA","Data not available"
"PrEP coverage and number of persons prescribed","2017","Idaho","16","269","NA","7.0"
"Receipt of HIV medical care","2017","Idaho","16","Data not available","NA","Data not available"
